User_name,ID,Tweet_time,List_of_specified_retweets
DHSCgovuk,1388093273202470919,2021-04-30 11:30:00,MHRAgovuk,mhclg
DHSCgovuk,1388044198687870976,2021-04-30 08:15:00,DCMS
DHSCgovuk,1386643722444496899,2021-04-26 11:30:00,MattHancock,PHE_uk,mhclg,DCMS
DHSCgovuk,1385888746223063041,2021-04-24 09:30:00,MHRAgovuk,PHE_uk
DHSCgovuk,1379358222381805568,2021-04-06 09:00:02,MHRAgovuk,UKGovScotland
DHSCgovuk,1378037008778502150,2021-04-02 17:30:00,MHRAgovuk
DHSCgovuk,1376632755618934786,2021-03-29 20:30:00,mhclg
DHSCgovuk,1375877781955833858,2021-03-27 18:30:00,nadhimzahawi
DHSCgovuk,1375198304179527690,2021-03-25 21:30:00,DCMS
DHSCgovuk,1373937501094699010,2021-03-22 10:00:01,mhclg
DHSCgovuk,1373212726693101568,2021-03-20 10:00:01,MHRAgovuk
DHSCgovuk,1372661589799763968,2021-03-18 21:30:00,MHRAgovuk,PHE_uk
DHSCgovuk,1371751844209385479,2021-03-16 09:15:00,beisgovuk,MHRAgovuk,NHSEngland,PHE_uk
DHSCgovuk,1371540451883368453,2021-03-15 19:15:00,MHRAgovuk,DCMS,UKGovWales
DHSCgovuk,1371166739673837572,2021-03-14 18:30:00,MHRAgovuk,nadhimzahawi
DHSCgovuk,1371076143017648130,2021-03-14 12:30:00,DCMS
DHSCgovuk,1370328721329070088,2021-03-12 11:00:01,nadhimzahawi
DHSCgovuk,1370064478331670530,2021-03-11 17:30:00,MHRAgovuk,PHE_uk
DHSCgovuk,1369728512173703171,2021-03-10 19:15:00,MHRAgovuk
DHSCgovuk,1369400098199773184,2021-03-09 21:30:00,MHRAgovuk
DHSCgovuk,1369305726615748612,2021-03-09 15:15:00,MHRAgovuk,PHE_uk
DHSCgovuk,1368177038855577601,2021-03-06 12:30:00,MHRAgovuk
DHSCgovuk,1367391866430365697,2021-03-04 08:30:00,MHRAgovuk
DHSCgovuk,1364130376239640576,2021-02-23 08:30:00,DCMS
DHSCgovuk,1363779311279370241,2021-02-22 09:15:00,MHRAgovuk
DHSCgovuk,1362840471278653443,2021-02-19 19:04:23,UKGovScotland
DHSCgovuk,1362688381092646917,2021-02-19 09:00:02,beisgovuk,PHE_uk,DCMS
DHSCgovuk,1361616308568084481,2021-02-16 10:00:00,mhclg
DHSCgovuk,1360634846733885444,2021-02-13 17:00:01,DCMS
