User_name,Hashtag,id,created_at,favorite_count,retweet_count,text
DHSCgovuk,NHS,1388229167708217348,2021-04-30 20:30:00,132,30,"Every vaccination gives us hope.

Thank you to all of the #NHS staff, armed forces, volunteers and members of the public who have helped to deliver the largest vaccination programme in British history in response to #Covid19.

Watch to see how they've played their part 👇 https://t.co/1OqErY1lLn"
DHSCgovuk,COVID19,1388168772863856641,2021-04-30 16:30:01,16,5,"We are deploying surge testing and enhanced contact tracing in Redbridge where the #COVID19 variant first identified in South Africa has been found.

Over 11s in targeted areas in these postcodes should get a PCR test:
▶️IG1
▶️IG5
▶️IG6
▶️IG7

More: https://t.co/LVuBSxNuwc https://t.co/Jw2NbGnxhd"
DHSCgovuk,COVID19,1388148854332313604,2021-04-30 15:10:52,142,39,"#COVID19 VACCINE UPDATE: Daily figures on the total number of COVID-19 vaccine doses that have been given in the UK.

As of 30 April, 48,748,962 COVID-19 vaccine doses have been given in the UK.

Visit the @PHE_uk dashboard for more info:
▶️ https://t.co/cQkuLQglz1 https://t.co/w3d7YUxwcY"
DHSCgovuk,COVID19,1388115927464431620,2021-04-30 13:00:01,22,20,"""This Ramadan, whether you're meeting with fam­ily in person or over FaceTime, I urge you to share information on vaccines with your loved ones.""

@nadhimzahawi urges Muslims to get the #COVID19 vaccination during #Ramadan if they are eligible.

Read more:
https://t.co/GKHnPy8JXR"
DHSCgovuk,COVID19,1388044198687870976,2021-04-30 08:15:00,23,21,"Always be aware of false information being shared online about the #COVIDVaccine

Dr Guha explains why you should check information about the #COVID19 vaccine before sharing it.

Here are her three top tips to follow  👇

More info:
▶️ https://t.co/9Vwa8g6fqh

@DCMS https://t.co/BbqRkWzs5m"
DHSCgovuk,Covid19,1388025331408199680,2021-04-30 07:00:01,26,13,"Mild #Covid19 symptoms for you could make others seriously ill.

Don't guess. Get a test.

Book a test:
📱 Use the @NHSCOVID19app
📞 Call 119 

More info:
▶️ https://t.co/6WZi7wtW9c https://t.co/x5BfvDEcwb"
DHSCgovuk,COVID19,1387806384708784134,2021-04-29 16:30:00,26,10,"The #COVID19 vaccine protects you and those around you.

We'll let you know when your vaccine is ready for you.

Find out more ▶️ https://t.co/PKVgX10aE3 https://t.co/NiLspGXC4V"
DHSCgovuk,COVID19,1387784542073856005,2021-04-29 15:03:13,124,23,"#COVID19 VACCINE UPDATE: Daily figures on the total number of COVID-19 vaccine doses that have been given in the UK.

As of 29 April, 48,138,009 COVID-19 vaccine doses have been given in the UK.

Visit the @PHE_uk dashboard for more info:
▶️ https://t.co/cQkuLQglz1 https://t.co/uOqhZGtmE7"
DHSCgovuk,COVID19,1387745983598051331,2021-04-29 12:30:00,63,12,"""It only took eight minutes in total - it's really simple. It's a triumph of science.""

@MattHancock got his first dose of the #COVID19 vaccine at @ScienceMuseum today.

Please get your jab when it's offered to you.

Details: https://t.co/PKVgX10aE3 https://t.co/kpwwumwSgB"
DHSCgovuk,COVID19,1387730886842470402,2021-04-29 11:30:00,35,31,"""It is only by receiving the second dose that we can get the maximum protection that the vaccine offers.""

Watch GP @DrCharlesEsene explain why the second dose of the #COVID19 vaccine is so important 👇

Find out more: https://t.co/PKVgX1hLvB https://t.co/jiUQhT15df"
DHSCgovuk,Covid19,1387693136655306753,2021-04-29 09:00:00,69,24,"""There is a substantial reduction in creating further cases.""

Watch Deputy Chief Medical Officer Jonathan Van-Tam talk about new @PHE_UK data on household transmission of #Covid19 👇

Find out more: https://t.co/A0A7yTwOvZ https://t.co/Fsr90TLpyt"
DHSCgovuk,COVID19,1387662937674772480,2021-04-29 07:00:00,12,7,"Hitting the gym?

Remember to check in using the NHS #COVID19 app before you start your workout.

Let’s take this next step safely. 

More info:
▶️ https://t.co/QKHIj8V2mY https://t.co/5yce6wle76"
DHSCgovuk,COVID19,1387457546299002881,2021-04-28 17:23:51,158,35,"We have secured 60 million additional doses of the Pfizer/BioNTech #COVID19 vaccine to support the UK's booster programme.

Find out more: https://t.co/hzlaVrRECA https://t.co/Ee6mpHb88H"
DHSCgovuk,COVID19,1387425709526765572,2021-04-28 15:17:20,108,42,"#COVID19 VACCINE UPDATE: Daily figures on the total number of COVID-19 vaccine doses that have been given in the UK.

As of 28 April, 47,540,984 COVID-19 vaccine doses have been given in the UK.

Visit the @PHE_uk dashboard for more info:
▶️ https://t.co/cQkuLQglz1 https://t.co/pP1keQWu1h"
DHSCgovuk,COVID19,1387368497517236234,2021-04-28 11:30:00,503,159,"""If you are worried about the vaccine having any pork or beef or animal products or foetal cells in it, it does not.""

@DrAmirKhanGP explains how the #COVID19 vaccine is suitable for people from all faith groups 👇

More about the vaccine ▶️ https://t.co/PKVgX1hLvB https://t.co/WPcAC5jsvf"
DHSCgovuk,Covid19,1387319423363469321,2021-04-28 08:15:00,46,25,"Mild #Covid19 symptoms for you could make others seriously ill.

Don’t be the one to pass it on. 

Book a test:
📱 Use the @NHSCOVID19app
📞 Call 119 

More info:
▶️ https://t.co/6WZi7wtW9c https://t.co/q8JaVZkRAQ"
DHSCgovuk,VaccinesWork,1387308098973483009,2021-04-28 07:30:00,25,14,"""The illnesses that we vaccinate against all have really significant complications.""
 
GP @Dr_Ellie talks about the effects of diseases including polio, meningitis and measles 👇

#WorldImmunisationWeek #VaccinesWork https://t.co/hmJ8sWLzY7"
DHSCgovuk,COVID19,1387142005235458054,2021-04-27 20:30:00,36,19,"Make sure every Iftar is a safe one by following the #COVID19 guidelines this #Ramadan.

Groups of six people or two households can meet outdoors. Remember to keep your distance.

More information: https://t.co/jZcQqL0t5K https://t.co/sHG3q8C481"
DHSCgovuk,COVID19,1387066458950275072,2021-04-27 15:29:48,84,26,"#COVID19 VACCINE UPDATE: Daily figures on the total number of COVID-19 vaccine doses that have been given in the UK.

As of 27 April, 47,045,391 COVID-19 vaccine doses have been given in the UK.

Visit the @PHE_uk dashboard for more info:
▶️ https://t.co/cQkuLQglz1 https://t.co/tbiwl7taXt"
DHSCgovuk,Covid19,1387039149681565701,2021-04-27 13:41:17,140,76,"One in four adults have now had both doses of the #Covid19 vaccine.

Find out if you're eligible to book now: 
https://t.co/nmFGy0ojEJ https://t.co/GzGYKEJGug"
DHSCgovuk,COVID19,1387013658987810822,2021-04-27 12:00:00,38,31,"""There is no evidence that this will impact on your fertility and I would really encourage you to go and get the vaccination.""

Watch consultant and fertility expert Dr Fatima Husain talk about the #COVID19 vaccine and fertility ⏬

More from @RCObsGyn:
https://t.co/wdjafHN1Yx https://t.co/QlAmVUXPP8"
DHSCgovuk,NHS,1386957035149750273,2021-04-27 08:15:00,98,37,"Every vaccination gives us hope.

Thank you to all of the #NHS staff, armed forces, volunteers and members of the public who have helped to deliver the largest vaccination programme in British history in response to #Covid19.

Watch to see how they've played their part 👇 https://t.co/KLLi2hzjkr"
DHSCgovuk,Covid19,1386779616761757696,2021-04-26 20:30:00,32,33,"Around one in three people who have #Covid19 have no symptoms and could be spreading it without knowing.

#GetTested regularly to show you care about your loved ones, your friends, colleagues and customers.

Get a free rapid test here:
▶️ https://t.co/6WZi7wLxxM

#GetTested https://t.co/FVhIRVeIPY"
DHSCgovuk,COVID19,1386726771299700737,2021-04-26 17:00:01,78,65,"Stay safe this #Ramadan by following #COVID19 guidelines.
 
Watch Muslim leaders and health experts including @QariAsim @DrAmirKhanGP and @fhussain73 answer some frequently asked questions about celebrating this year ⬇️
 
Find out more: https://t.co/jZcQqKISec https://t.co/X1wADbHlxN"
DHSCgovuk,COVID19,1386703737918525444,2021-04-26 15:28:29,122,38,"#COVID19 VACCINE UPDATE: Daily figures on the total number of COVID-19 vaccine doses that have been given in the UK.

As of 26 April, 46,650,008 COVID-19 vaccine doses have been given in the UK.

Visit the @PHE_uk dashboard for more info:
▶️ https://t.co/cQkuLQglz1 https://t.co/ROG0fJsSXf"
DHSCgovuk,Covid19,1386674460300914695,2021-04-26 13:32:09,18,16,"Clinical trial volunteers play an important role in helping researchers find out more about new #Covid19 vaccines.

Sign up to get more information about taking part:
https://t.co/x0JlLIOLaS https://t.co/9sVEolzdKK"
DHSCgovuk,COVID19,1386658821653757953,2021-04-26 12:30:00,23,10,"The #COVID19 vaccine protects you and those around you.

We'll let you know when your vaccine is ready for you.

Find out more ▶️ https://t.co/PKVgX1hLvB https://t.co/GyY07JnODV"
